botanical_name,Irrigation_Requirements
Platycladus orientalis,moderate
Prunus armeniaca,moderate
Prunus blireiana,moderate
Prunus caroliniana,
Prunus cerasifera,moderate
Prunus cerasifera 'Atropurpurea',moderate
Prunus cerasifera 'Krater Vesuvius',moderate
Prunus domestica,moderate
Prunus ilicifolia,
Prunus ilicifolia ssp. Lyonii,moderate
Prunus lusitanica,
Prunus persica,moderate
Prunus spp.,
Psidium guajava,
Pyrus calleryana,moderate
Pyrus kawakamii,moderate
Quercus agrifolia,minimal
Quercus engelmannii,
Quercus ilex,minimal
Quercus suber,minimal
Quercus tomentella,
Quillaja saponaria,
Radermachera sinica,moderate
Ravenea rivularis,moderate
Rhus lancea,
Robinia ambigua 'Idahoensis',
Robinia pseudoacacia,
Roystonea regia,moderate
Salix babylonica,
Schefflera actinophylla,moderate
Schinus molle,minimal
Schinus terebinthifolius,minimal
Sequoia sempervirens,high
Stenocarpus sinuatus,moderate
Strelitzia nicolai,moderate
Stump,
Stump - not accessible,
Styphnolobium japonicum,
Syagrus romanzoffianum,moderate
Syzygium paniculatum,moderate
Syzygium spp.,
Taxodium distichum,
Taxodium huegelii,
Tecoma stans,
Thevetia peruviana,minimal
Thuja occidentalis,
Tilia americana,
Tipuana tipu,moderate
Trachycarpus fortunei,moderate
Tristania laurina,"none, once established"
Ulmus parvifolia,moderate
Ulmus parvifolia 'Allee',moderate
Ulmus parvifolia 'Drake',moderate
Ulmus propinqua 'Emerald Sunshine',
Ulmus pumila,moderate
Umbellularia californica,"none, once established"
Unidentified spp.,
Unsuitable site,
Vacant site,
Viburnum spp.,moderate
Washingtonia filifera,"none, once established"
Washingtonia filifera X robusta,
Washingtonia robusta,"none, once established"
Wisteria sinensis,
Wodyetia bifurcata,moderate
Yucca gloriosa,"none, once established"
Yucca spp.,"none, once established"
Zelkova serrata,
296,4
289 = species (minus stumps etc),
