botanical_name,native,EOL_ID,EOL_overview_URL
Livistona chinensis,exotic,1140296,http://eol.org/pages/1140296/overview
Lophostemon confertus,exotic,2508670,http://eol.org/pages/2508670/overview
Lophostemon confertus 'Variegata',exotic,2508670,http://eol.org/pages/2508670/overview
Lyonothamnus floribundus,native,793980,http://eol.org/pages/793980/overview
Macadamia integrifolia,exotic,39867980,http://eol.org/pages/39867980/overview
Macadamia tetraphylla,exotic,491550,http://eol.org/pages/491550/overview
Magnolia champaca,exotic,1155025,http://eol.org/pages/1155025/overview
Magnolia grandiflora,exotic,1154991,http://eol.org/pages/1154991/overview
Magnolia grandiflora 'Little Gem',exotic,1154991,http://eol.org/pages/1154991/overview
Magnolia grandiflora 'Samuel Sommer',exotic,1154991,http://eol.org/pages/1154991/overview
Magnolia soulangiana,exotic,2497011,http://eol.org/pages/2497011/overview
Malus floribunda,exotic,628729,http://eol.org/pages/628729/overview
Malus sylvestris,exotic,633316,http://eol.org/pages/633316/overview
Maytenus boaria,exotic,6940183,http://eol.org/pages/6940183/overview
Melaleuca armillaris,exotic,5449241,http://eol.org/pages/5449241/overview
Melaleuca citrina,exotic,2508464,http://eol.org/pages/2508464/overview
Melaleuca ericifolia,exotic,5449388,http://eol.org/pages/5449388/overview
Melaleuca genistifolia,exotic,5449350,http://eol.org/pages/5449350/overview
Melaleuca linariifolia,exotic,2508583,http://eol.org/pages/2508583/overview
Melaleuca nesophila,exotic,5449572,http://eol.org/pages/5449572/overview
Melaleuca quinquenervia,exotic,2508582,http://eol.org/pages/2508582/overview
Melaleuca spp.,exotic,1327063,http://eol.org/pages/1327063/overview
Melaleuca viminalis,exotic,5454625,http://eol.org/pages/5454625/overview
Melia azedarach,exotic,581918,http://eol.org/pages/581918/overview
Metrosideros excelsus,exotic,5448620,http://eol.org/pages/5448620/overview
Morus alba,exotic,594885,http://eol.org/pages/594885/overview
Musa spp.,exotic,44527,http://eol.org/pages/44527/overview
Myoporum laetum,exotic,578077,http://eol.org/pages/578077/overview
Myrtus communis,exotic,2508590,http://eol.org/pages/2508590/overview
Nerium oleander,exotic,581314,http://eol.org/pages/581314/overview
No Replant,,,
Nolina recurvata,exotic,1086152,http://eol.org/pages/1086152/overview
Olea europaea,exotic,579181,http://eol.org/pages/579181/overview
Other tree,,,
Palm spp.,exotic,8193,http://eol.org/pages/8193/overview
Parkinsonia X 'Desert Museum',exotic,53527,http://eol.org/pages/53527/overview
Persea americana,exotic,596888,http://eol.org/pages/596888/overview
Persea borbonia,exotic,596915,http://eol.org/pages/596915/overview
Persea indica,exotic,5394782,http://eol.org/pages/5394782/overview
Phoenix canariensis,exotic,1135089,http://eol.org/pages/1135089/overview
Phoenix dactylifera,exotic,1135088,http://eol.org/pages/1135088/overview
Phoenix reclinata,exotic,1135083,http://eol.org/pages/1135083/overview
Phoenix roebelenii,exotic,1135082,http://eol.org/pages/1135082/overview
Phoenix rupicola,exotic,1135081,http://eol.org/pages/1135081/overview
Picea pungens,exotic,1033621,http://eol.org/pages/1033621/overview
Picea spp.,exotic,14029,http://eol.org/pages/14029/overview
Pinus brutia,exotic,1061743,http://eol.org/pages/1061743/overview
Pinus canariensis,exotic,323436,http://eol.org/pages/323436/overview
Pinus eldarica,exotic,1282072,http://eol.org/pages/1282072/overview
Pinus halepensis,exotic,1033600,http://eol.org/pages/1033600/overview
Pinus pinea,exotic,999491,http://eol.org/pages/999491/overview
Pinus radiata,native,1061749,http://eol.org/pages/1061749/overview
Pinus roxburghii,exotic,1033069,http://eol.org/pages/1033069/overview
Pinus thunbergiana,exotic,1033637,http://eol.org/pages/1033637/overview
Pinus torreyana,native,1059927,http://eol.org/pages/1059927/overview
Pistacia chinensis,exotic,483509,http://eol.org/pages/483509/overview
Pittosporum crassifolium,exotic,486199,http://eol.org/pages/486199/overview
Pittosporum phillyreoides,exotic,5556132,http://eol.org/pages/5556132/overview
Pittosporum tobira,exotic,583390,http://eol.org/pages/583390/overview
Pittosporum undulatum,exotic,583391,http://eol.org/pages/583391/overview
Pittosporum viridiflorum,exotic,486203,http://eol.org/pages/486203/overview
Platanus acerifolia,exotic,468381,http://eol.org/pages/468381/overview
Platanus hybrida,exotic,,
Platanus mexicana,exotic,5348089,http://eol.org/pages/5348089/overview
Platanus racemosa,native,594707,http://eol.org/pages/594707/overview
Platanus spp.,exotic,59477,http://eol.org/pages/59477/overview
Platanus X hispanica,exotic,,
Platanus X hispanica 'Bloodgood',exotic,,
Platanus X hispanica 'Columbia',exotic,,
Platanus X hispanica 'Yarwood',exotic,,
Platycladus orientalis,exotic,323359,http://eol.org/pages/323359/overview
Prunus armeniaca,exotic,301091,http://eol.org/pages/301091/overview
Prunus blireiana,exotic,634384,http://eol.org/pages/634384/overview
Prunus caroliniana,exotic,301110,http://eol.org/pages/301110/overview
Prunus cerasifera,exotic,631720,http://eol.org/pages/631720/overview
Prunus cerasifera 'Atropurpurea',exotic,1258831,http://eol.org/pages/1258831/overview
Prunus cerasifera 'Krater Vesuvius',exotic,631720,http://eol.org/pages/631720/overview
Prunus domestica,exotic,301139,http://eol.org/pages/301139/overview
Prunus ilicifolia,native,11165073,http://eol.org/pages/11165073/overview
Prunus ilicifolia ssp. Lyonii,native,1245549,http://eol.org/pages/1245549/overview
Prunus lusitanica,exotic,640257,http://eol.org/pages/640257/overview
Prunus persica,exotic,631649,http://eol.org/pages/631649/overview
Prunus spp.,exotic,29913,http://eol.org/pages/29913/overview
Psidium guajava,exotic,2508593,http://eol.org/pages/2508593/overview
Pyrus calleryana,exotic,299081,http://eol.org/pages/299081/overview
Pyrus kawakamii,exotic,634663,http://eol.org/pages/634663/overview
Quercus agrifolia,native,1151806,http://eol.org/pages/1151806/overview
Quercus engelmannii,native,1151633,http://www.eol.org/pages/1151633/overview
Quercus ilex,exotic,1151536,http://eol.org/pages/1151536/overview
Quercus suber,exotic,1151259,http://eol.org/pages/1151259/overview
Quercus tomentella,native,1151230,http://www.eol.org/pages/1151230/overview
Quillaja saponaria,exotic,241669,http://www.eol.org/pages/241669/overview
Radermachera sinica,exotic,2895140,http://eol.org/pages/2895140/overview
Ravenea rivularis,exotic,1131993,http://eol.org/pages/1131993/overview
Rhus lancea,exotic,46323916,http://eol.org/pages/46323916/overview
Robinia ambigua 'Idahoensis',exotic,2513774,http://eol.org/pages/2513774/overview
Robinia pseudoacacia,exotic,704089,http://eol.org/pages/704089/overview
Roystonea regia,exotic,1131526,http://eol.org/pages/1131526/overview
Salix babylonica,exotic,483069,http://www.eol.org/pages/483069/overview
Schefflera actinophylla,exotic,1150882,http://eol.org/pages/1150882/overview
Schinus molle,exotic,582275,http://eol.org/pages/582275/overview
Schinus terebinthifolius,exotic,582274,http://eol.org/pages/582274/overview
Sequoia sempervirens,native,1034849,http://eol.org/pages/1034849/overview
Stenocarpus sinuatus,exotic,582737,http://eol.org/pages/582737/overview
Strelitzia nicolai,exotic,345179,http://eol.org/pages/345179/overview
Stump,,,
Stump - not accessible,,,
Styphnolobium japonicum,exotic,702857,http://eol.org/pages/702857/overview
Syagrus romanzoffianum,exotic,1129524,http://eol.org/pages/1129524/overview
Syzygium paniculatum,exotic,2508667,http://eol.org/pages/2508667/overview
Syzygium spp.,exotic,2508658,http://eol.org/pages/2508658/overview
Taxodium distichum,exotic,1061709,http://www.eol.org/pages/1061709/overview
Taxodium huegelii,exotic,1034850,http://www.eol.org/pages/1034850/overview
Tecoma stans,exotic,578225,http://eol.org/pages/578225/overview
Thevetia peruviana,exotic,585619,http://eol.org/pages/585619/overview
Thuja occidentalis,exotic,1034927,http://eol.org/pages/1034927/overview
Tilia americana,exotic,584834,http://eol.org/pages/584834/overview
Tipuana tipu,exotic,638623,http://www.eol.org/pages/638623/overview
Trachycarpus fortunei,exotic,1128696,http://eol.org/pages/1128696/overview
Tristania laurina,exotic,5461008,http://eol.org/pages/5461008/overview
Ulmus parvifolia,exotic,595062,http://eol.org/pages/595062/overview
Ulmus parvifolia 'Allee',exotic,,http://eol.org/pages/595062/overview
Ulmus parvifolia 'Drake',exotic,,http://eol.org/pages/595062/overview
Ulmus propinqua 'Emerald Sunshine',,,
Ulmus pumila,exotic,594950,http://www.eol.org/pages/594950/overview
Umbellularia californica,native,596841,http://eol.org/pages/596841/overview
Unidentified spp.,,,
Unsuitable site,,,
Vacant site,,,
Viburnum spp.,,37657,http://eol.org/pages/37657/overview
Washingtonia filifera,native,1127834,http://www.eol.org/pages/1127834/overview
Washingtonia filifera X robusta,exotic,,
Washingtonia robusta,exotic,1127833,http://eol.org/pages/1127833/overview
Wisteria sinensis,exotic,704193,http://eol.org/pages/704193/overview
Wodyetia bifurcata,exotic,1127809,http://eol.org/pages/1127809/overview
Yucca gloriosa,exotic,1083624,http://www.eol.org/pages/1083624/overview
Yucca spp.,exotic,33611,http://eol.org/pages/33611/overview
Zelkova serrata,exotic,484119,http://eol.org/pages/484119/overview
296,,,
